"scenario","condition","llm","run_id","tier2_attempted","tier2_success","tier2_timed_out","fixes_applied"
"scenario_1b","turing","llama3.1:8b",1,TRUE,FALSE,FALSE,"Added 'using Dates'"
"scenario_1b","turing","llama3.1:8b",2,TRUE,FALSE,FALSE,"Added 'using Dates'"
"scenario_1b","turing","llama3.1:8b",3,FALSE,FALSE,FALSE,""
"scenario_2","epiaware","claude-sonnet-4-20250514",3,TRUE,FALSE,FALSE,"Added 'using Dates'"
"scenario_2","epiaware","llama3.1:8b",1,FALSE,FALSE,FALSE,""
"scenario_2","epiaware","llama3.1:8b",2,FALSE,FALSE,FALSE,""
"scenario_2","epiaware","llama3.1:8b",3,FALSE,FALSE,FALSE,""
"scenario_2","pymc","claude-sonnet-4-20250514",1,FALSE,FALSE,FALSE,""
"scenario_2","pymc","claude-sonnet-4-20250514",2,FALSE,FALSE,FALSE,""
"scenario_2","pymc","claude-sonnet-4-20250514",3,FALSE,FALSE,FALSE,""
"scenario_2","pymc","llama3.1:8b",1,FALSE,FALSE,FALSE,""
"scenario_2","pymc","llama3.1:8b",2,FALSE,FALSE,FALSE,""
"scenario_2","pymc","llama3.1:8b",3,TRUE,FALSE,FALSE,"Fixed 'sd=' -> 'sigma=' in Normal"
"scenario_2","r","claude-sonnet-4-20250514",1,FALSE,FALSE,FALSE,""
"scenario_2","r","claude-sonnet-4-20250514",2,FALSE,FALSE,FALSE,""
"scenario_2","r","llama3.1:8b",1,FALSE,FALSE,FALSE,""
"scenario_2","r","llama3.1:8b",2,TRUE,FALSE,FALSE,"Fixed typo: 'purr' -> 'purrr'"
"scenario_2","r","llama3.1:8b",3,FALSE,FALSE,FALSE,""
"scenario_2","stan","claude-sonnet-4-20250514",1,FALSE,FALSE,FALSE,""
"scenario_2","stan","claude-sonnet-4-20250514",2,FALSE,FALSE,FALSE,""
"scenario_2","stan","claude-sonnet-4-20250514",3,FALSE,FALSE,FALSE,""
"scenario_2","stan","llama3.1:8b",1,FALSE,FALSE,FALSE,""
"scenario_2","stan","llama3.1:8b",2,FALSE,FALSE,FALSE,""
"scenario_2","stan","llama3.1:8b",3,FALSE,FALSE,FALSE,""
"scenario_2","turing","claude-sonnet-4-20250514",1,TRUE,FALSE,FALSE,"Added 'using Dates'"
"scenario_2","turing","claude-sonnet-4-20250514",2,TRUE,FALSE,FALSE,"Added 'using Dates'"
"scenario_2","turing","claude-sonnet-4-20250514",3,TRUE,FALSE,FALSE,"Added 'using Dates'"
"scenario_2","turing","llama3.1:8b",1,FALSE,FALSE,FALSE,""
"scenario_2","turing","llama3.1:8b",2,FALSE,FALSE,FALSE,""
"scenario_2","turing","llama3.1:8b",3,TRUE,FALSE,FALSE,"Added 'using Dates'"
"scenario_3","epiaware","claude-sonnet-4-20250514",1,FALSE,FALSE,FALSE,""
"scenario_3","epiaware","claude-sonnet-4-20250514",2,FALSE,FALSE,FALSE,""
"scenario_3","epiaware","claude-sonnet-4-20250514",3,FALSE,FALSE,FALSE,""
"scenario_3","epiaware","llama3.1:8b",1,FALSE,FALSE,FALSE,""
"scenario_3","epiaware","llama3.1:8b",2,FALSE,FALSE,FALSE,""
"scenario_3","epiaware","llama3.1:8b",3,FALSE,FALSE,FALSE,""
"scenario_3","pymc","claude-sonnet-4-20250514",1,FALSE,FALSE,FALSE,""
"scenario_3","pymc","claude-sonnet-4-20250514",2,FALSE,FALSE,FALSE,""
"scenario_3","pymc","claude-sonnet-4-20250514",3,FALSE,FALSE,FALSE,""
"scenario_3","pymc","llama3.1:8b",1,FALSE,FALSE,FALSE,""
"scenario_3","pymc","llama3.1:8b",2,TRUE,FALSE,FALSE,"Fixed 'sd=' -> 'sigma=' in Normal; Fixed 'sd=' -> 'sigma=' in HalfNormal"
"scenario_3","pymc","llama3.1:8b",3,FALSE,FALSE,FALSE,""
"scenario_3","r","claude-sonnet-4-20250514",1,FALSE,FALSE,FALSE,""
"scenario_3","r","claude-sonnet-4-20250514",2,FALSE,FALSE,FALSE,""
"scenario_3","r","claude-sonnet-4-20250514",3,FALSE,FALSE,FALSE,""
"scenario_3","r","llama3.1:8b",1,FALSE,FALSE,FALSE,""
"scenario_3","r","llama3.1:8b",2,FALSE,FALSE,FALSE,""
"scenario_3","r","llama3.1:8b",3,FALSE,FALSE,FALSE,""
"scenario_3","stan","claude-sonnet-4-20250514",1,FALSE,FALSE,FALSE,""
"scenario_3","stan","claude-sonnet-4-20250514",2,FALSE,FALSE,FALSE,""
"scenario_3","stan","claude-sonnet-4-20250514",3,FALSE,FALSE,FALSE,""
"scenario_3","stan","llama3.1:8b",1,FALSE,FALSE,FALSE,""
"scenario_3","stan","llama3.1:8b",2,TRUE,FALSE,FALSE,"Added 'library(readr)'"
"scenario_3","stan","llama3.1:8b",3,FALSE,FALSE,FALSE,""
"scenario_3","turing","claude-sonnet-4-20250514",1,TRUE,FALSE,FALSE,"Added 'using Dates'"
"scenario_3","turing","claude-sonnet-4-20250514",2,TRUE,FALSE,FALSE,"Added 'using Dates'"
"scenario_3","turing","claude-sonnet-4-20250514",3,TRUE,FALSE,FALSE,"Added 'using Dates'"
"scenario_3","turing","llama3.1:8b",1,FALSE,FALSE,FALSE,""
"scenario_3","turing","llama3.1:8b",2,FALSE,FALSE,FALSE,""
"scenario_3","turing","llama3.1:8b",3,TRUE,FALSE,FALSE,"Added 'using Dates'"
