"scenario","condition","llm","run_id","code_extracted","tier1_success","tier1_timed_out","tier1_duration"
"2","pymc","claude-sonnet-4-20250514",2,TRUE,FALSE,FALSE,1.31346201896667
"2","pymc","claude-sonnet-4-20250514",3,TRUE,FALSE,FALSE,1.40688157081604
"2","pymc","llama3.1:8b",1,TRUE,FALSE,FALSE,0.107779026031494
"2","pymc","llama3.1:8b",2,TRUE,FALSE,FALSE,0.105982542037964
"2","pymc","llama3.1:8b",3,TRUE,FALSE,FALSE,0.308324813842773
"2","r","claude-sonnet-4-20250514",1,TRUE,FALSE,FALSE,3.41125154495239
"2","r","claude-sonnet-4-20250514",2,TRUE,FALSE,TRUE,600.105107784271
"2","r","claude-sonnet-4-20250514",3,TRUE,TRUE,FALSE,3.31050181388855
"2","r","llama3.1:8b",1,TRUE,FALSE,FALSE,83.8267321586609
"2","r","llama3.1:8b",2,TRUE,FALSE,FALSE,0.709237337112427
"2","r","llama3.1:8b",3,TRUE,FALSE,FALSE,1.01036381721497
"2","stan","claude-sonnet-4-20250514",1,TRUE,FALSE,FALSE,1.31131076812744
"2","stan","claude-sonnet-4-20250514",2,TRUE,FALSE,FALSE,1.50978183746338
"2","stan","claude-sonnet-4-20250514",3,TRUE,FALSE,FALSE,1.20916128158569
"2","stan","llama3.1:8b",1,TRUE,FALSE,FALSE,1.40674781799316
"2","stan","llama3.1:8b",2,TRUE,FALSE,FALSE,1.40803551673889
"2","stan","llama3.1:8b",3,TRUE,FALSE,FALSE,9.21891283988953
"2","turing","claude-sonnet-4-20250514",1,TRUE,FALSE,FALSE,5.41202139854431
"2","turing","claude-sonnet-4-20250514",2,TRUE,FALSE,FALSE,11.4124839305878
"2","turing","claude-sonnet-4-20250514",3,TRUE,FALSE,FALSE,5.11100196838379
"2","turing","llama3.1:8b",1,TRUE,FALSE,FALSE,5.11193895339966
"2","turing","llama3.1:8b",2,TRUE,FALSE,FALSE,3.81251621246338
"2","turing","llama3.1:8b",3,TRUE,FALSE,FALSE,3.11111044883728
"3","epiaware","claude-sonnet-4-20250514",1,TRUE,FALSE,FALSE,15.0225508213043
"3","epiaware","claude-sonnet-4-20250514",2,TRUE,FALSE,FALSE,15.5227887630463
"3","epiaware","claude-sonnet-4-20250514",3,TRUE,FALSE,FALSE,15.8290369510651
"3","epiaware","llama3.1:8b",1,TRUE,FALSE,FALSE,12.2235360145569
"3","epiaware","llama3.1:8b",2,TRUE,FALSE,FALSE,7.8141872882843
"3","epiaware","llama3.1:8b",3,TRUE,FALSE,FALSE,7.71443104743958
"3","pymc","claude-sonnet-4-20250514",1,TRUE,FALSE,FALSE,1.80995869636536
"3","pymc","claude-sonnet-4-20250514",2,TRUE,FALSE,FALSE,1.30546927452087
"3","pymc","claude-sonnet-4-20250514",3,TRUE,FALSE,FALSE,1.40964937210083
"3","pymc","llama3.1:8b",1,TRUE,FALSE,FALSE,1.30854368209839
"3","pymc","llama3.1:8b",2,TRUE,FALSE,FALSE,1.30901432037354
"3","pymc","llama3.1:8b",3,TRUE,FALSE,FALSE,1.30542826652527
"3","r","claude-sonnet-4-20250514",1,TRUE,FALSE,FALSE,518.442080020905
"3","r","claude-sonnet-4-20250514",2,TRUE,FALSE,TRUE,600.110392808914
"3","r","claude-sonnet-4-20250514",3,TRUE,FALSE,TRUE,600.049001693726
"3","r","llama3.1:8b",1,TRUE,FALSE,FALSE,3.7089364528656
"3","r","llama3.1:8b",2,TRUE,FALSE,FALSE,0.906316995620728
"3","r","llama3.1:8b",3,TRUE,FALSE,FALSE,1.80750846862793
"3","stan","claude-sonnet-4-20250514",1,TRUE,FALSE,FALSE,1.40875363349915
"3","stan","claude-sonnet-4-20250514",2,TRUE,FALSE,FALSE,1.50671935081482
"3","stan","claude-sonnet-4-20250514",3,TRUE,FALSE,TRUE,600.065680503845
"3","stan","llama3.1:8b",1,TRUE,FALSE,FALSE,1.8126175403595
"3","stan","llama3.1:8b",2,TRUE,FALSE,FALSE,14.8368501663208
"3","stan","llama3.1:8b",3,TRUE,FALSE,FALSE,1.40816378593445
"3","turing","claude-sonnet-4-20250514",1,TRUE,FALSE,FALSE,21.4228563308716
"3","turing","claude-sonnet-4-20250514",2,TRUE,FALSE,FALSE,25.8245573043823
"3","turing","claude-sonnet-4-20250514",3,TRUE,FALSE,FALSE,16.3142313957214
"3","turing","llama3.1:8b",1,TRUE,FALSE,FALSE,3.10396432876587
"3","turing","llama3.1:8b",2,TRUE,FALSE,FALSE,5.10986757278442
"3","turing","llama3.1:8b",3,TRUE,FALSE,FALSE,5.4115092754364
